Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
844¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":182,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Program
845¿VariableDeclarator¿¿1436¿v62¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
846¿CallExpression¿¿1436¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿CallExpression
847¿Identifier¿¿1436¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
848¿Literal¿string¿1436¿¿'child_process'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Literal
849¿VariableDeclarator¿¿1436¿exec¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
850¿MemberExpression¿¿1436¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
851¿Identifier¿¿1436¿v62¿¿¿¿¿Identifier
852¿Identifier¿¿1436¿exec¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
853¿ExpressionStatement¿¿1436¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿ExpressionStatement
854¿AssignmentExpression¿=¿1436¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿AssignmentExpression
855¿MemberExpression¿¿1436¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿MemberExpression
856¿Identifier¿¿1436¿module¿¿¿{"start":{"line":12,"column":0},"end":{"line":12,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
857¿Identifier¿¿1436¿exports¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
858¿Identifier¿¿1436¿Git¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
859¿VariableDeclarator¿exported¿1436¿Git¿¿¿{"start":{"line":20,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
860¿FunctionExpression¿¿1436¿anon¿¿¿{"start":{"line":20,"column":0},"end":{"line":27,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿FunctionExpression
861¿Identifier¿¿0¿opts¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿Identifier
862¿VariableDeclarator¿¿1438¿v63¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/gity_1.0.5/src/index.js"}¿¿VariableDeclarator
