Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
736¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":127,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Program
737¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿ExpressionStatement
738¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
739¿VariableDeclarator¿¿isObject¿¿¿{"start":{"line":3,"column":6},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
740¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿ArrowFunctionExpression
741¿Identifier¿¿element¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
742¿VariableDeclarator¿¿v92¿¿¿¿¿VariableDeclarator
743¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿UnaryExpression
744¿Identifier¿¿element¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
745¿VariableDeclarator¿¿v93¿¿¿¿¿VariableDeclarator
746¿BinaryExpression¿===¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿BinaryExpression
747¿Identifier¿¿v92¿¿¿¿¿Identifier
748¿Literal¿string¿¿'object'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Literal
749¿ReturnStatement¿¿¿¿¿¿¿ReturnStatement
750¿Identifier¿¿v93¿¿¿¿¿Identifier
751¿BlockStatement¿¿¿¿¿¿¿BlockStatement
752¿VariableDeclarator¿¿noObjectsInArray¿¿¿{"start":{"line":6,"column":6},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿VariableDeclarator
753¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿ArrowFunctionExpression
754¿Identifier¿¿array¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
755¿VariableDeclarator¿¿v94¿¿¿¿¿VariableDeclarator
756¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿CallExpression
757¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿MemberExpression
758¿Identifier¿¿array¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
759¿Identifier¿¿findIndex¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
760¿Identifier¿¿isObject¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿Identifier
761¿VariableDeclarator¿¿v95¿¿¿¿¿VariableDeclarator
762¿UnaryExpression¿-¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.0/src/index.js"}¿¿UnaryExpression
