Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
914¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":106,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Program
915¿VariableDeclarator¿¿1559¿stat¿¿¿{"start":{"line":1,"column":4},"end":{"line":4,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿VariableDeclarator
916¿FunctionExpression¿¿1559¿anon¿¿¿{"start":{"line":1,"column":11},"end":{"line":4,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿FunctionExpression
917¿Identifier¿¿0¿child_process¿¿¿{"start":{"line":1,"column":20},"end":{"line":1,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
918¿Identifier¿¿0¿path¿¿¿{"start":{"line":1,"column":35},"end":{"line":1,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
919¿ExpressionStatement¿¿1561¿¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ExpressionStatement
920¿AssignmentExpression¿=¿1561¿¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿AssignmentExpression
921¿MemberExpression¿¿1561¿¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿MemberExpression
922¿ThisExpression¿¿1561¿¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ThisExpression
923¿Identifier¿¿1561¿child_process¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
924¿Identifier¿¿1561¿child_process¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿Identifier
925¿ExpressionStatement¿¿1561¿¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/diskstats_0.0.2/src/stat.js"}¿¿ExpressionStatement
