Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
741¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":100,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Program
742¿VariableDeclarator¿¿1269¿childProcess¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
743¿CallExpression¿¿1269¿¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿CallExpression
744¿Identifier¿¿1269¿require¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
745¿Literal¿string¿1269¿¿'child_process'¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Literal
746¿VariableDeclarator¿¿1269¿_getTitles¿¿¿{"start":{"line":3,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
747¿FunctionExpression¿¿1269¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":13,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿FunctionExpression
748¿Identifier¿¿0¿titleLine¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿Identifier
749¿VariableDeclarator¿¿1271¿titles¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
750¿ArrayExpression¿¿1271¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿ArrayExpression
751¿VariableDeclarator¿¿1271¿v69¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-ps_0.0.2/src/index.js"}¿¿VariableDeclarator
