Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1207¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":222,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Program
1208¿ExpressionStatement¿¿2095¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ExpressionStatement
1209¿Literal¿string¿2095¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Literal
1210¿VariableDeclarator¿¿2095¿each¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1211¿CallExpression¿¿2095¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1212¿Identifier¿¿2095¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1213¿Literal¿string¿2095¿¿'foreach'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Literal
1214¿ExpressionStatement¿¿2095¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ExpressionStatement
1215¿AssignmentExpression¿=¿2095¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿AssignmentExpression
1216¿MemberExpression¿¿2095¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1217¿Identifier¿¿2095¿module¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1218¿Identifier¿¿2095¿exports¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1219¿Identifier¿¿2095¿api¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1220¿VariableDeclarator¿exported¿2095¿api¿¿¿{"start":{"line":19,"column":0},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1221¿FunctionExpression¿¿2095¿anon¿¿¿{"start":{"line":19,"column":0},"end":{"line":38,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿FunctionExpression
1222¿Identifier¿¿0¿obj¿¿¿{"start":{"line":19,"column":14},"end":{"line":19,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1223¿Identifier¿¿0¿pointer¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1224¿Identifier¿¿0¿value¿¿¿{"start":{"line":19,"column":28},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1225¿VariableDeclarator¿¿2097¿v104¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1226¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1227¿Identifier¿¿2097¿arguments¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1228¿Identifier¿¿2097¿length¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1229¿VariableDeclarator¿¿2097¿v105¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1230¿BinaryExpression¿===¿2097¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BinaryExpression
1231¿Identifier¿¿2097¿v104¿¿¿¿¿Identifier
1232¿Literal¿number¿2097¿¿3¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Literal
1233¿IfStatement¿¿2097¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿IfStatement
1234¿Identifier¿¿2097¿v105¿¿¿¿¿Identifier
1235¿VariableDeclarator¿¿2097¿v106¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1236¿CallExpression¿¿2097¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿CallExpression
1237¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
1238¿Identifier¿¿2097¿api¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1239¿Identifier¿¿2097¿set¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1240¿Identifier¿¿2097¿obj¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1241¿Identifier¿¿2097¿pointer¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1242¿Identifier¿¿2097¿value¿¿¿{"start":{"line":22,"column":37},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿Identifier
1243¿ReturnStatement¿¿2097¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿ReturnStatement
1244¿Identifier¿¿2097¿v106¿¿¿¿¿Identifier
1245¿BlockStatement¿¿2097¿¿¿¿{"start":{"line":21,"column":32},"end":{"line":23,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿BlockStatement
1246¿VariableDeclarator¿¿2097¿v107¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿VariableDeclarator
1247¿MemberExpression¿¿2097¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/json-pointer_0.6.0/src/index.js"}¿¿MemberExpression
