Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
807¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":112,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Program
808¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿ExpressionStatement
809¿Literal¿string¿1409¿¿'use strict'¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
810¿VariableDeclarator¿¿1409¿v71¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
811¿CallExpression¿¿1409¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
812¿Identifier¿¿1409¿require¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
813¿Literal¿string¿1409¿¿'debug'¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
814¿VariableDeclarator¿¿1409¿debug¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
815¿CallExpression¿¿1409¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
816¿Identifier¿¿1409¿v71¿¿¿¿¿Identifier
817¿Literal¿string¿1409¿¿'jscover'¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
818¿VariableDeclarator¿¿1409¿v72¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
819¿CallExpression¿¿1409¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
820¿Identifier¿¿1409¿require¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
821¿Literal¿string¿1409¿¿'child_process'¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
822¿VariableDeclarator¿¿1409¿exec¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
823¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
824¿Identifier¿¿1409¿v72¿¿¿¿¿Identifier
825¿Identifier¿¿1409¿exec¿¿¿{"start":{"line":14,"column":36},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
826¿VariableDeclarator¿¿1409¿path¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
827¿CallExpression¿¿1409¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
828¿Identifier¿¿1409¿require¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
829¿Literal¿string¿1409¿¿'path'¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
830¿VariableDeclarator¿¿1409¿ndir¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
831¿CallExpression¿¿1409¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
832¿Identifier¿¿1409¿require¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
833¿Literal¿string¿1409¿¿'ndir'¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
834¿VariableDeclarator¿¿1409¿fse¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
835¿CallExpression¿¿1409¿¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
836¿Identifier¿¿1409¿require¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
837¿Literal¿string¿1409¿¿'fs-extra'¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
838¿VariableDeclarator¿¿1409¿fs¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
839¿CallExpression¿¿1409¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
840¿Identifier¿¿1409¿require¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
841¿Literal¿string¿1409¿¿'fs'¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Literal
842¿VariableDeclarator¿¿1409¿root¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿VariableDeclarator
843¿CallExpression¿¿1409¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿CallExpression
844¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿MemberExpression
845¿Identifier¿¿1409¿path¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-c5hm-xc74-pqrg/src/jscover.js"}¿¿Identifier
