Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2112¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":241,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Program
2113¿VariableDeclarator¿¿3696¿argv¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2114¿VariableDeclarator¿¿3696¿yargs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2115¿CallExpression¿¿3696¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2116¿Identifier¿¿3696¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2117¿Literal¿string¿3696¿¿'yargs'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2118¿VariableDeclarator¿¿3696¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2119¿CallExpression¿¿3696¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2120¿Identifier¿¿3696¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2121¿Literal¿string¿3696¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
2122¿VariableDeclarator¿¿3696¿art¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿VariableDeclarator
2123¿CallExpression¿¿3696¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿CallExpression
2124¿Identifier¿¿3696¿require¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Identifier
2125¿Literal¿string¿3696¿¿'../ascii-art'¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/727/src/ascii-art.js"}¿¿Literal
