Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4086¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":766,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Program
4087¿ExpressionStatement¿¿7252¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4088¿Literal¿string¿7252¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4089¿VariableDeclarator¿¿7252¿source¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4090¿VariableDeclarator¿¿7252¿position¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4091¿VariableDeclarator¿¿7252¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4092¿VariableDeclarator¿¿7252¿parse¿¿¿{"start":{"line":7,"column":0},"end":{"line":210,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4093¿FunctionExpression¿¿7252¿anon¿¿¿{"start":{"line":7,"column":0},"end":{"line":210,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿FunctionExpression
4094¿Identifier¿¿0¿src¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4095¿VariableDeclarator¿¿7254¿v363¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4096¿UnaryExpression¿typeof¿7254¿¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿UnaryExpression
4097¿Identifier¿¿7254¿src¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4098¿VariableDeclarator¿¿7254¿v364¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4099¿BinaryExpression¿!=¿7254¿¿¿¿{"start":{"line":8,"column":5},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿BinaryExpression
4100¿Identifier¿¿7254¿v363¿¿¿¿¿Identifier
4101¿Literal¿string¿7254¿¿'string'¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4102¿IfStatement¿¿7254¿¿¿¿{"start":{"line":8,"column":1},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿IfStatement
4103¿Identifier¿¿7254¿v364¿¿¿¿¿Identifier
4104¿ExpressionStatement¿¿7254¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4105¿AssignmentExpression¿=¿7254¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿AssignmentExpression
4106¿Identifier¿¿7254¿src¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4107¿CallExpression¿¿7254¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿CallExpression
4108¿Identifier¿¿7254¿String¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4109¿Identifier¿¿7254¿src¿¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4110¿BlockStatement¿¿7254¿¿¿¿¿¿BlockStatement
4111¿VariableDeclarator¿¿7254¿scope¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4112¿NewExpression¿¿7254¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿NewExpression
4113¿Identifier¿¿7254¿Scope¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4114¿VariableDeclarator¿¿7254¿inlineTypes¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4115¿ArrayExpression¿¿7254¿¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ArrayExpression
4116¿ExpressionStatement¿¿7254¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4117¿AssignmentExpression¿=¿7254¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿AssignmentExpression
4118¿Identifier¿¿7254¿source¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4119¿Identifier¿¿7254¿src¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4120¿ExpressionStatement¿¿7254¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿ExpressionStatement
4121¿AssignmentExpression¿=¿7254¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿AssignmentExpression
4122¿Identifier¿¿7254¿position¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Identifier
4123¿Literal¿number¿7254¿¿0¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
4124¿VariableDeclarator¿¿7254¿key¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿VariableDeclarator
4125¿Literal¿string¿7254¿¿''¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/ion-parser_0.5.2/src/parser.js"}¿¿Literal
