Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6315¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1064,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Program
6316¿ExpressionStatement¿¿10974¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿ExpressionStatement
6317¿Literal¿string¿10974¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6318¿VariableDeclarator¿¿10974¿_typeof¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":240},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6319¿VariableDeclarator¿¿10974¿v667¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6320¿UnaryExpression¿typeof¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿UnaryExpression
6321¿Identifier¿¿10974¿Symbol¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6322¿VariableDeclarator¿¿10974¿v668¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6323¿BinaryExpression¿===¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BinaryExpression
6324¿Identifier¿¿10974¿v667¿¿¿¿¿Identifier
6325¿Literal¿string¿10974¿¿'function'¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6326¿VariableDeclarator¿¿10974¿v669¿¿¿{"start":{"line":3,"column":53},"end":{"line":3,"column":68},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6327¿MemberExpression¿¿10974¿¿¿¿{"start":{"line":3,"column":53},"end":{"line":3,"column":68},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿MemberExpression
6328¿Identifier¿¿10974¿Symbol¿¿¿{"start":{"line":3,"column":53},"end":{"line":3,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6329¿Identifier¿¿10974¿iterator¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":68},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Identifier
6330¿VariableDeclarator¿¿10974¿v670¿¿¿{"start":{"line":3,"column":46},"end":{"line":3,"column":68},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6331¿UnaryExpression¿typeof¿10974¿¿¿¿{"start":{"line":3,"column":46},"end":{"line":3,"column":68},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿UnaryExpression
6332¿Identifier¿¿10974¿v669¿¿¿¿¿Identifier
6333¿VariableDeclarator¿¿10974¿v671¿¿¿{"start":{"line":3,"column":46},"end":{"line":3,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6334¿BinaryExpression¿===¿10974¿¿¿¿{"start":{"line":3,"column":46},"end":{"line":3,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿BinaryExpression
6335¿Identifier¿¿10974¿v670¿¿¿¿¿Identifier
6336¿Literal¿string¿10974¿¿'symbol'¿¿{"start":{"line":3,"column":73},"end":{"line":3,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿Literal
6337¿VariableDeclarator¿¿10974¿v672¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿VariableDeclarator
6338¿LogicalExpression¿&&¿10974¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/1122/src/DocumentMatcher.js"}¿¿LogicalExpression
