Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
745¿Program¿¿-1¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":258,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Program
746¿TryStatement¿¿1293¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿TryStatement
747¿VariableDeclarator¿¿1293¿_g¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿VariableDeclarator
748¿Identifier¿¿1293¿global¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
749¿BlockStatement¿¿1293¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":16,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿BlockStatement
750¿CatchClause¿¿1293¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿CatchClause
751¿TryStatement¿¿1293¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":21,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿TryStatement
752¿ExpressionStatement¿¿1293¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿ExpressionStatement
753¿AssignmentExpression¿=¿1293¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿AssignmentExpression
754¿Identifier¿¿1293¿global¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
755¿Identifier¿¿1293¿window¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/modulify_0.1.0/src/modulify.js"}¿¿Identifier
