Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
919¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":100,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Program
920¿VariableDeclarator¿¿1597¿isObject¿¿¿{"start":{"line":1,"column":0},"end":{"line":3,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
921¿FunctionExpression¿¿1597¿anon¿¿¿{"start":{"line":1,"column":0},"end":{"line":3,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿FunctionExpression
922¿Identifier¿¿0¿o¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
923¿Identifier¿¿0¿allowArray¿¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
924¿VariableDeclarator¿¿1599¿v84¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
925¿UnaryExpression¿typeof¿1599¿¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿UnaryExpression
926¿Identifier¿¿1599¿o¿¿¿{"start":{"line":2,"column":34},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
927¿VariableDeclarator¿¿1599¿v85¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
928¿BinaryExpression¿===¿1599¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
929¿Literal¿string¿1599¿¿'object'¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
930¿Identifier¿¿1599¿v84¿¿¿¿¿Identifier
931¿VariableDeclarator¿¿1599¿v86¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
932¿LogicalExpression¿&&¿1599¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿LogicalExpression
933¿Identifier¿¿1599¿o¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
934¿Identifier¿¿1599¿v85¿¿¿¿¿Identifier
935¿VariableDeclarator¿¿1599¿v87¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
936¿CallExpression¿¿1599¿¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿CallExpression
937¿MemberExpression¿¿1599¿¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿MemberExpression
938¿Identifier¿¿1599¿Array¿¿¿{"start":{"line":2,"column":55},"end":{"line":2,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
939¿Identifier¿¿1599¿isArray¿¿¿{"start":{"line":2,"column":61},"end":{"line":2,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
940¿Identifier¿¿1599¿o¿¿¿{"start":{"line":2,"column":69},"end":{"line":2,"column":70},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
941¿VariableDeclarator¿¿1599¿v88¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
942¿UnaryExpression¿!¿1599¿¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿UnaryExpression
943¿Identifier¿¿1599¿v87¿¿¿¿¿Identifier
944¿VariableDeclarator¿¿1599¿v89¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
945¿LogicalExpression¿||¿1599¿¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿LogicalExpression
946¿Identifier¿¿1599¿allowArray¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
947¿Identifier¿¿1599¿v88¿¿¿¿¿Identifier
948¿VariableDeclarator¿¿1599¿v90¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
949¿LogicalExpression¿&&¿1599¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿LogicalExpression
950¿Identifier¿¿1599¿v86¿¿¿¿¿Identifier
951¿Identifier¿¿1599¿v89¿¿¿¿¿Identifier
952¿ReturnStatement¿¿1599¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿ReturnStatement
953¿Identifier¿¿1599¿v90¿¿¿¿¿Identifier
954¿BlockStatement¿¿1599¿¿¿¿{"start":{"line":1,"column":34},"end":{"line":3,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BlockStatement
955¿VariableDeclarator¿¿1597¿isBasic¿¿¿{"start":{"line":5,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
956¿FunctionExpression¿¿1597¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿FunctionExpression
957¿Identifier¿¿0¿b¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
958¿VariableDeclarator¿¿1601¿v91¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
959¿UnaryExpression¿typeof¿1601¿¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿UnaryExpression
960¿Identifier¿¿1601¿b¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
961¿VariableDeclarator¿¿1601¿v92¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
962¿BinaryExpression¿===¿1601¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
963¿Literal¿string¿1601¿¿'string'¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
964¿Identifier¿¿1601¿v91¿¿¿¿¿Identifier
965¿VariableDeclarator¿¿1601¿v93¿¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
966¿UnaryExpression¿typeof¿1601¿¿¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿UnaryExpression
967¿Identifier¿¿1601¿b¿¿¿{"start":{"line":6,"column":54},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Identifier
968¿VariableDeclarator¿¿1601¿v94¿¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
969¿BinaryExpression¿===¿1601¿¿¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿BinaryExpression
970¿Literal¿string¿1601¿¿'number'¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿Literal
971¿Identifier¿¿1601¿v93¿¿¿¿¿Identifier
972¿VariableDeclarator¿¿1601¿v95¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿VariableDeclarator
973¿LogicalExpression¿||¿1601¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/libnested_1.5.0/src/index.js"}¿¿LogicalExpression
974¿Identifier¿¿1601¿v92¿¿¿¿¿Identifier
975¿Identifier¿¿1601¿v94¿¿¿¿¿Identifier
