Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8356¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":925,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Program
8357¿ExpressionStatement¿¿14836¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿ExpressionStatement
8358¿Literal¿string¿14836¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8359¿VariableDeclarator¿¿14836¿fs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8360¿CallExpression¿¿14836¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8361¿Identifier¿¿14836¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8362¿Literal¿string¿14836¿¿'fs'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8363¿VariableDeclarator¿¿14836¿path¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8364¿CallExpression¿¿14836¿¿¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8365¿Identifier¿¿14836¿require¿¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8366¿Literal¿string¿14836¿¿'path'¿¿{"start":{"line":3,"column":39},"end":{"line":3,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8367¿VariableDeclarator¿¿14836¿babel¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8368¿CallExpression¿¿14836¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8369¿Identifier¿¿14836¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8370¿Literal¿string¿14836¿¿'babel-core'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8371¿VariableDeclarator¿¿14836¿esprima¿¿¿{"start":{"line":4,"column":35},"end":{"line":4,"column":63},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8372¿CallExpression¿¿14836¿¿¿¿{"start":{"line":4,"column":45},"end":{"line":4,"column":63},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8373¿Identifier¿¿14836¿require¿¿¿{"start":{"line":4,"column":45},"end":{"line":4,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8374¿Literal¿string¿14836¿¿'esprima'¿¿{"start":{"line":4,"column":53},"end":{"line":4,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8375¿VariableDeclarator¿¿14836¿uglify¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8376¿CallExpression¿¿14836¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8377¿Identifier¿¿14836¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8378¿Literal¿string¿14836¿¿'uglify-js'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8379¿VariableDeclarator¿¿14836¿walk¿¿¿{"start":{"line":5,"column":35},"end":{"line":5,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8380¿CallExpression¿¿14836¿¿¿¿{"start":{"line":5,"column":42},"end":{"line":5,"column":65},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
8381¿Identifier¿¿14836¿require¿¿¿{"start":{"line":5,"column":42},"end":{"line":5,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Identifier
8382¿Literal¿string¿14836¿¿'esprima-walk'¿¿{"start":{"line":5,"column":50},"end":{"line":5,"column":64},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿Literal
8383¿VariableDeclarator¿¿14836¿v977¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿VariableDeclarator
8384¿CallExpression¿¿14836¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/buns_1.1.6/src/index.js"}¿¿CallExpression
