Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
924¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":73,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Program
925¿ExpressionStatement¿¿1638¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
926¿Literal¿string¿1638¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
927¿VariableDeclarator¿¿1638¿v91¿¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
928¿MemberExpression¿¿1638¿¿¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
929¿ThisExpression¿¿1638¿¿¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ThisExpression
930¿Identifier¿¿1638¿__importDefault¿¿¿{"start":{"line":2,"column":36},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
931¿VariableDeclarator¿¿1638¿v92¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
932¿LogicalExpression¿&&¿1638¿¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿LogicalExpression
933¿ThisExpression¿¿1638¿¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ThisExpression
934¿Identifier¿¿1638¿v91¿¿¿¿¿Identifier
935¿VariableDeclarator¿¿1638¿v97¿¿¿{"start":{"line":2,"column":56},"end":{"line":4,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
936¿FunctionExpression¿¿1638¿anon¿¿¿{"start":{"line":2,"column":56},"end":{"line":4,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿FunctionExpression
