Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
612¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":100,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Program
613¿VariableDeclarator¿¿1069¿http¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
614¿CallExpression¿¿1069¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
615¿Identifier¿¿1069¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
616¿Literal¿string¿1069¿¿'http'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
617¿VariableDeclarator¿¿1069¿url¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
618¿CallExpression¿¿1069¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
619¿Identifier¿¿1069¿require¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
620¿Literal¿string¿1069¿¿'url'¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
621¿VariableDeclarator¿¿1069¿v40¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿VariableDeclarator
622¿CallExpression¿¿1069¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿CallExpression
623¿Identifier¿¿1069¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Identifier
624¿Literal¿string¿1069¿¿'util'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/augustine_0.2.3/src/index.js"}¿¿Literal
