Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3175¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":270,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Program
3176¿ExpressionStatement¿¿5395¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ExpressionStatement
3177¿Literal¿string¿5395¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Literal
3178¿VariableDeclarator¿¿5395¿v290¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3179¿MemberExpression¿¿5395¿¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿MemberExpression
3180¿ThisExpression¿¿5395¿¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ThisExpression
3181¿Identifier¿¿5395¿__awaiter¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3182¿VariableDeclarator¿¿5395¿v291¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3183¿LogicalExpression¿&&¿5395¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿LogicalExpression
3184¿ThisExpression¿¿5395¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿ThisExpression
3185¿Identifier¿¿5395¿v290¿¿¿¿¿Identifier
3186¿VariableDeclarator¿¿5395¿v317¿¿¿{"start":{"line":2,"column":44},"end":{"line":10,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3187¿FunctionExpression¿¿5395¿anon¿¿¿{"start":{"line":2,"column":44},"end":{"line":10,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3188¿Identifier¿¿0¿thisArg¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3189¿Identifier¿¿0¿_arguments¿¿¿{"start":{"line":2,"column":63},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3190¿Identifier¿¿0¿P¿¿¿{"start":{"line":2,"column":75},"end":{"line":2,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3191¿Identifier¿¿0¿generator¿¿¿{"start":{"line":2,"column":78},"end":{"line":2,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3192¿VariableDeclarator¿¿5397¿adopt¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":112},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3193¿FunctionExpression¿¿5397¿anon¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":112},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿FunctionExpression
3194¿Identifier¿¿0¿value¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3195¿VariableDeclarator¿¿5399¿v292¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿VariableDeclarator
3196¿BinaryExpression¿instanceof¿5399¿¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿BinaryExpression
3197¿Identifier¿¿5399¿value¿¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
3198¿Identifier¿¿5399¿P¿¿¿{"start":{"line":3,"column":52},"end":{"line":3,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-qffw-8wg7-h665/src/index.js"}¿¿Identifier
