Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2401¿Program¿¿-1¿¿¿¿{"start":{"line":13,"column":0},"end":{"line":324,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Program
2402¿VariableDeclarator¿¿4163¿Promise¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2403¿CallExpression¿¿4163¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2404¿Identifier¿¿4163¿require¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2405¿Literal¿string¿4163¿¿'bluebird'¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2406¿VariableDeclarator¿¿4163¿_¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2407¿CallExpression¿¿4163¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2408¿Identifier¿¿4163¿require¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2409¿Literal¿string¿4163¿¿'lodash'¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2410¿VariableDeclarator¿¿4163¿v259¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2411¿CallExpression¿¿4163¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2412¿Identifier¿¿4163¿require¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2413¿Literal¿string¿4163¿¿'debug'¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2414¿VariableDeclarator¿¿4163¿d¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2415¿CallExpression¿¿4163¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2416¿Identifier¿¿4163¿v259¿¿¿¿¿Identifier
2417¿Literal¿string¿4163¿¿'apiconnect:lib:plugin-loader'¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":55},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2418¿VariableDeclarator¿¿4163¿v260¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2419¿CallExpression¿¿4163¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2420¿Identifier¿¿4163¿require¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2421¿Literal¿string¿4163¿¿'child_process'¿¿{"start":{"line":16,"column":19},"end":{"line":16,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2422¿VariableDeclarator¿¿4163¿exec¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2423¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":16,"column":11},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2424¿Identifier¿¿4163¿v260¿¿¿¿¿Identifier
2425¿Identifier¿¿4163¿exec¿¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2426¿VariableDeclarator¿¿4163¿v261¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2427¿CallExpression¿¿4163¿¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2428¿Identifier¿¿4163¿require¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2429¿Literal¿string¿4163¿¿'util'¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2430¿VariableDeclarator¿¿4163¿format¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2431¿MemberExpression¿¿4163¿¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿MemberExpression
2432¿Identifier¿¿4163¿v261¿¿¿¿¿Identifier
2433¿Identifier¿¿4163¿format¿¿¿{"start":{"line":17,"column":29},"end":{"line":17,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2434¿VariableDeclarator¿¿4163¿fs¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2435¿CallExpression¿¿4163¿¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2436¿Identifier¿¿4163¿require¿¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
2437¿Literal¿string¿4163¿¿'fs'¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Literal
2438¿VariableDeclarator¿¿4163¿v262¿¿¿{"start":{"line":19,"column":35},"end":{"line":19,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿VariableDeclarator
2439¿CallExpression¿¿4163¿¿¿¿{"start":{"line":19,"column":35},"end":{"line":19,"column":54},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿CallExpression
2440¿Identifier¿¿4163¿require¿¿¿{"start":{"line":19,"column":35},"end":{"line":19,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/apiconnect-cli-plugins_6.0.2/src/plugin-loader.js"}¿¿Identifier
