Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
743¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Program
744¿ExpressionStatement¿¿1257¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿ExpressionStatement
745¿Literal¿string¿1257¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
746¿VariableDeclarator¿¿1257¿v72¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
747¿CallExpression¿¿1257¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
748¿Identifier¿¿1257¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
749¿Literal¿string¿1257¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
750¿VariableDeclarator¿¿1257¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
751¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
752¿Identifier¿¿1257¿v72¿¿¿¿¿Identifier
753¿Identifier¿¿1257¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
754¿VariableDeclarator¿¿1257¿v73¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
755¿CallExpression¿¿1257¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
756¿Identifier¿¿1257¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
757¿Literal¿string¿1257¿¿'child_process'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
758¿VariableDeclarator¿¿1257¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
759¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
760¿Identifier¿¿1257¿v73¿¿¿¿¿Identifier
761¿Identifier¿¿1257¿execSync¿¿¿{"start":{"line":4,"column":40},"end":{"line":4,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
762¿VariableDeclarator¿¿1257¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
763¿CallExpression¿¿1257¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿CallExpression
764¿Identifier¿¿1257¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
765¿Literal¿string¿1257¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Literal
766¿VariableDeclarator¿¿1257¿access¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
767¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
768¿Identifier¿¿1257¿fs¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
769¿Identifier¿¿1257¿access¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
770¿VariableDeclarator¿¿1257¿accessSync¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿VariableDeclarator
771¿MemberExpression¿¿1257¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿MemberExpression
772¿Identifier¿¿1257¿fs¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/659/src/command-exists.js"}¿¿Identifier
