Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":957,"column":2}}¿¿Program
1¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13}}¿¿ExpressionStatement
2¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12}}¿¿Literal
3¿VariableDeclarator¿¿Assert¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":32}}¿¿VariableDeclarator
4¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":32}}¿¿CallExpression
5¿Identifier¿¿require¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":22}}¿¿Identifier
6¿Literal¿string¿¿'assert'¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":31}}¿¿Literal
7¿VariableDeclarator¿¿Crypto¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":32}}¿¿VariableDeclarator
8¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":32}}¿¿CallExpression
9¿Identifier¿¿require¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22}}¿¿Identifier
10¿Literal¿string¿¿'crypto'¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":31}}¿¿Literal
11¿VariableDeclarator¿¿Path¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":28}}¿¿VariableDeclarator
12¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28}}¿¿CallExpression
13¿Identifier¿¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20}}¿¿Identifier
14¿Literal¿string¿¿'path'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27}}¿¿Literal
15¿VariableDeclarator¿¿Util¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28}}¿¿VariableDeclarator
16¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28}}¿¿CallExpression
17¿Identifier¿¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20}}¿¿Identifier
18¿Literal¿string¿¿'util'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":27}}¿¿Literal
19¿VariableDeclarator¿¿Escape¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":34}}¿¿VariableDeclarator
20¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":34}}¿¿CallExpression
21¿Identifier¿¿require¿¿¿{"start":{"line":10,"column":15},"end":{"line":10,"column":22}}¿¿Identifier
22¿Literal¿string¿¿'./escape'¿¿{"start":{"line":10,"column":23},"end":{"line":10,"column":33}}¿¿Literal
23¿VariableDeclarator¿¿internals¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":20}}¿¿VariableDeclarator
24¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
25¿VariableDeclarator¿¿v25¿¿¿¿¿VariableDeclarator
26¿FunctionExpression¿¿anon¿¿¿{"start":{"line":20,"column":16},"end":{"line":86,"column":1}}¿¿FunctionExpression
27¿Identifier¿¿obj¿¿¿{"start":{"line":20,"column":26},"end":{"line":20,"column":29}}¿¿Identifier
28¿Identifier¿¿seen¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":35}}¿¿Identifier
