Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
598¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":135,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Program
599¿VariableDeclarator¿exported¿1038¿cmd¿¿¿{"start":{"line":3,"column":4},"end":{"line":134,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
600¿FunctionExpression¿¿1038¿anon¿¿¿{"start":{"line":3,"column":10},"end":{"line":134,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿FunctionExpression
601¿Identifier¿¿0¿command¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
602¿Identifier¿¿0¿callback¿¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
603¿Identifier¿¿0¿log¿¿¿{"start":{"line":3,"column":38},"end":{"line":3,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
604¿VariableDeclarator¿¿1040¿v61¿¿¿{"start":{"line":4,"column":30},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
605¿FunctionExpression¿¿1040¿anon¿¿¿{"start":{"line":4,"column":30},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿FunctionExpression
606¿ReturnStatement¿¿1042¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿ReturnStatement
607¿Identifier¿¿1042¿arguments¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
608¿BlockStatement¿¿1042¿¿¿¿{"start":{"line":4,"column":41},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BlockStatement
609¿VariableDeclarator¿¿1040¿_callback¿¿¿{"start":{"line":4,"column":6},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
610¿LogicalExpression¿||¿1040¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿LogicalExpression
611¿Identifier¿¿1040¿callback¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
612¿Identifier¿¿1040¿v61¿¿¿¿¿Identifier
613¿VariableDeclarator¿¿1040¿_log¿¿¿{"start":{"line":8,"column":6},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
614¿VariableDeclarator¿¿1040¿v62¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
615¿UnaryExpression¿typeof¿1040¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿UnaryExpression
616¿Identifier¿¿1040¿log¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
617¿VariableDeclarator¿¿1040¿v63¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
618¿BinaryExpression¿==¿1040¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿BinaryExpression
619¿Identifier¿¿1040¿v62¿¿¿¿¿Identifier
620¿Literal¿string¿1040¿¿'function'¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Literal
621¿VariableDeclarator¿¿1040¿v66¿¿¿{"start":{"line":8,"column":52},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
622¿FunctionExpression¿¿1040¿msg¿¿¿{"start":{"line":8,"column":52},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿FunctionExpression
623¿Identifier¿¿0¿msg¿¿¿{"start":{"line":8,"column":65},"end":{"line":8,"column":68},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿Identifier
624¿VariableDeclarator¿¿1044¿v64¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/wc-cmd_1.0.9/src/index.js"}¿¿VariableDeclarator
