Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
826¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":80,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Program
827¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
828¿Literal¿string¿1454¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Literal
829¿VariableDeclarator¿¿1454¿v71¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
830¿ObjectExpression¿¿1454¿¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ObjectExpression
831¿Property¿¿1454¿¿¿¿{"start":{"line":2,"column":47},"end":{"line":2,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Property
832¿Identifier¿¿1454¿value¿¿¿{"start":{"line":2,"column":47},"end":{"line":2,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
833¿Literal¿boolean¿1454¿¿true¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Literal
834¿VariableDeclarator¿¿1454¿v72¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
835¿CallExpression¿¿1454¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿CallExpression
836¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
837¿Identifier¿¿1454¿Object¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
838¿Identifier¿¿1454¿defineProperty¿¿¿{"start":{"line":2,"column":7},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
839¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
840¿Literal¿string¿1454¿¿'__esModule'¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Literal
841¿Identifier¿¿1454¿v71¿¿¿¿¿Identifier
842¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
843¿Identifier¿¿1454¿v72¿¿¿¿¿Identifier
844¿VariableDeclarator¿¿1454¿v73¿¿¿{"start":{"line":3,"column":91},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
845¿UnaryExpression¿void¿1454¿¿¿¿{"start":{"line":3,"column":91},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿UnaryExpression
846¿Literal¿number¿1454¿¿0¿¿{"start":{"line":3,"column":96},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Literal
847¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
848¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
849¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
850¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":83},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
851¿Identifier¿¿1454¿main¿¿¿{"start":{"line":3,"column":84},"end":{"line":3,"column":88},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
852¿Identifier¿¿1454¿v73¿¿¿¿¿Identifier
853¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
854¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
855¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
856¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
857¿Identifier¿¿1454¿merge¿¿¿{"start":{"line":3,"column":68},"end":{"line":3,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
858¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":88},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
859¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":76},"end":{"line":3,"column":83},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
860¿Identifier¿¿1454¿main¿¿¿{"start":{"line":3,"column":84},"end":{"line":3,"column":88},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
861¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
862¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
863¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
864¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
865¿Identifier¿¿1454¿recursive¿¿¿{"start":{"line":3,"column":48},"end":{"line":3,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
866¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
867¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":60},"end":{"line":3,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
868¿Identifier¿¿1454¿merge¿¿¿{"start":{"line":3,"column":68},"end":{"line":3,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
869¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
870¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
871¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
872¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
873¿Identifier¿¿1454¿clone¿¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
874¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
875¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
876¿Identifier¿¿1454¿recursive¿¿¿{"start":{"line":3,"column":48},"end":{"line":3,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
877¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":98},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
878¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":97},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
879¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
880¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
881¿Identifier¿¿1454¿isPlainObject¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
882¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
883¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
884¿Identifier¿¿1454¿clone¿¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
885¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
886¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
887¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
888¿Identifier¿¿1454¿main¿¿¿{"start":{"line":4,"column":27},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
889¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
890¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
891¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
892¿Identifier¿¿1454¿module¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
893¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
894¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
895¿ExpressionStatement¿¿1454¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ExpressionStatement
896¿AssignmentExpression¿=¿1454¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿AssignmentExpression
897¿MemberExpression¿¿1454¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿MemberExpression
898¿Identifier¿¿1454¿exports¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
899¿Identifier¿¿1454¿default¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
900¿Identifier¿¿1454¿main¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Identifier
901¿VariableDeclarator¿¿1454¿main¿¿¿{"start":{"line":6,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
902¿FunctionExpression¿¿1454¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿FunctionExpression
903¿VariableDeclarator¿¿1456¿items¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
904¿ArrayExpression¿¿1456¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿ArrayExpression
905¿VariableDeclarator¿¿1456¿_i¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
906¿Literal¿number¿1456¿¿0¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿Literal
907¿VariableDeclarator¿¿1456¿v74¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/merge_2.1.0/src/index.js"}¿¿VariableDeclarator
