Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2329¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":300,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Program
2330¿VariableDeclarator¿¿4114¿host¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2331¿Literal¿string¿4114¿¿'localhost'¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2332¿VariableDeclarator¿¿4114¿port¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2333¿Literal¿number¿4114¿¿8080¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2334¿VariableDeclarator¿¿4114¿filesPath¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2335¿Literal¿object¿4114¿¿null¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2336¿VariableDeclarator¿¿4114¿browse¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2337¿Literal¿boolean¿4114¿¿false¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2338¿VariableDeclarator¿¿4114¿debug¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2339¿Literal¿boolean¿4114¿¿false¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2340¿VariableDeclarator¿¿4114¿noCache¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2341¿Literal¿boolean¿4114¿¿false¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2342¿VariableDeclarator¿¿4114¿defEnc¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2343¿Literal¿string¿4114¿¿'utf-8'¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2344¿VariableDeclarator¿¿4114¿v237¿¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
2345¿BinaryExpression¿+¿4114¿¿¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿BinaryExpression
2346¿Literal¿string¿4114¿¿'text/html; charset='¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Literal
2347¿Identifier¿¿4114¿defEnc¿¿¿{"start":{"line":22,"column":36},"end":{"line":22,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿Identifier
2348¿VariableDeclarator¿¿4114¿v238¿¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/http-file-server_0.2.6/src/http-file-server.js"}¿¿VariableDeclarator
