Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
587¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":66,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Program
588¿VariableDeclarator¿¿1019¿v64¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
589¿CallExpression¿¿1019¿¿¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
590¿Identifier¿¿1019¿require¿¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
591¿Literal¿string¿1019¿¿'child_process'¿¿{"start":{"line":1,"column":35},"end":{"line":1,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
592¿VariableDeclarator¿¿1019¿exec¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
593¿MemberExpression¿¿1019¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
594¿Identifier¿¿1019¿v64¿¿¿¿¿Identifier
595¿Identifier¿¿1019¿exec¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
596¿VariableDeclarator¿¿1019¿execSync¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
597¿MemberExpression¿¿1019¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
598¿Identifier¿¿1019¿v64¿¿¿¿¿Identifier
599¿Identifier¿¿1019¿execSync¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
600¿VariableDeclarator¿¿1019¿utils¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
601¿CallExpression¿¿1019¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿CallExpression
602¿Identifier¿¿1019¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
603¿Literal¿string¿1019¿¿'./utils'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
604¿VariableDeclarator¿¿1019¿pdfinfo¿¿¿{"start":{"line":4,"column":0},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
605¿FunctionExpression¿¿1019¿anon¿¿¿{"start":{"line":4,"column":0},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿FunctionExpression
606¿Identifier¿¿0¿filename¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
607¿Identifier¿¿0¿options¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
608¿VariableDeclarator¿¿1021¿v65¿¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
609¿ObjectExpression¿¿1021¿¿¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ObjectExpression
610¿ExpressionStatement¿¿1021¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ExpressionStatement
611¿AssignmentExpression¿=¿1021¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿AssignmentExpression
612¿MemberExpression¿¿1021¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
613¿ThisExpression¿¿1021¿¿¿¿{"start":{"line":5,"column":2},"end":{"line":5,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ThisExpression
614¿Identifier¿¿1021¿options¿¿¿{"start":{"line":5,"column":7},"end":{"line":5,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
615¿LogicalExpression¿||¿1021¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿LogicalExpression
616¿Identifier¿¿1021¿options¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
617¿Identifier¿¿1021¿v65¿¿¿¿¿Identifier
618¿VariableDeclarator¿¿1021¿v66¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
619¿MemberExpression¿¿1021¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
620¿ThisExpression¿¿1021¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ThisExpression
621¿Identifier¿¿1021¿options¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
622¿VariableDeclarator¿¿1021¿v67¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
623¿BinaryExpression¿+¿1021¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BinaryExpression
624¿Literal¿string¿1021¿¿'''¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
625¿Identifier¿¿1021¿filename¿¿¿{"start":{"line":6,"column":35},"end":{"line":6,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
626¿VariableDeclarator¿¿1021¿v68¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿VariableDeclarator
627¿BinaryExpression¿+¿1021¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿BinaryExpression
628¿Identifier¿¿1021¿v67¿¿¿¿¿Identifier
629¿Literal¿string¿1021¿¿'''¿¿{"start":{"line":6,"column":46},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Literal
630¿ExpressionStatement¿¿1021¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":51},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿ExpressionStatement
631¿AssignmentExpression¿=¿1021¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿AssignmentExpression
632¿MemberExpression¿¿1021¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿MemberExpression
633¿Identifier¿¿1021¿v66¿¿¿¿¿Identifier
634¿Identifier¿¿1021¿additional¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/643/src/pdfinfo.js"}¿¿Identifier
