Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
15326¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":1714,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Program
15327¿VariableDeclarator¿¿27460¿os¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15328¿CallExpression¿¿27460¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15329¿Identifier¿¿27460¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15330¿Literal¿string¿27460¿¿'os'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15331¿VariableDeclarator¿¿27460¿util¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15332¿CallExpression¿¿27460¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15333¿Identifier¿¿27460¿require¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15334¿Literal¿string¿27460¿¿'util'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15335¿VariableDeclarator¿¿27460¿net¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15336¿CallExpression¿¿27460¿¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15337¿Identifier¿¿27460¿require¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15338¿Literal¿string¿27460¿¿'net'¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15339¿VariableDeclarator¿¿27460¿fs¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15340¿CallExpression¿¿27460¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
15341¿Identifier¿¿27460¿require¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Identifier
15342¿Literal¿string¿27460¿¿'fs'¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿Literal
15343¿VariableDeclarator¿¿27460¿node_path¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿VariableDeclarator
15344¿CallExpression¿¿27460¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/clamscan_1.2.0/src/index.js"}¿¿CallExpression
