Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3297¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":642,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Program
3298¿ExpressionStatement¿¿5643¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿ExpressionStatement
3299¿Literal¿string¿5643¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3300¿VariableDeclarator¿¿5643¿child_process¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3301¿CallExpression¿¿5643¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿CallExpression
3302¿Identifier¿¿5643¿require¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Identifier
3303¿Literal¿string¿5643¿¿'child_process'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿Literal
3304¿VariableDeclarator¿¿5643¿vBoxManageBinary¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3305¿VariableDeclarator¿¿5643¿escapeArg¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3306¿VariableDeclarator¿¿5643¿v282¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿VariableDeclarator
3307¿MemberExpression¿¿5643¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/vboxmanage.js_1.0.6/src/index.js"}¿¿MemberExpression
