Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1036¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":147,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Program
1037¿ExpressionStatement¿¿1791¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1038¿Literal¿string¿1791¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Literal
1039¿VariableDeclarator¿exported¿1791¿Cache¿¿¿{"start":{"line":6,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿VariableDeclarator
1040¿FunctionExpression¿¿1791¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿FunctionExpression
1041¿Identifier¿¿0¿maxSize¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1042¿ExpressionStatement¿¿1793¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ExpressionStatement
1043¿AssignmentExpression¿=¿1793¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿AssignmentExpression
1044¿MemberExpression¿¿1793¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿MemberExpression
1045¿ThisExpression¿¿1793¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿ThisExpression
1046¿Identifier¿¿1793¿_maxSize¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
1047¿Identifier¿¿1793¿maxSize¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/property-expr_2.0.2/src/index.js"}¿¿Identifier
