Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4342¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":419,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Program
4343¿VariableDeclarator¿¿7570¿child_process¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4344¿CallExpression¿¿7570¿¿¿¿{"start":{"line":1,"column":20},"end":{"line":1,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4345¿Identifier¿¿7570¿require¿¿¿{"start":{"line":1,"column":20},"end":{"line":1,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4346¿Literal¿string¿7570¿¿'child_process'¿¿{"start":{"line":1,"column":28},"end":{"line":1,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4347¿VariableDeclarator¿¿7570¿gitParser¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4348¿CallExpression¿¿7570¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4349¿Identifier¿¿7570¿require¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4350¿Literal¿string¿7570¿¿'./git-parser'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4351¿VariableDeclarator¿¿7570¿async¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4352¿CallExpression¿¿7570¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4353¿Identifier¿¿7570¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4354¿Literal¿string¿7570¿¿'async'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4355¿VariableDeclarator¿¿7570¿path¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4356¿CallExpression¿¿7570¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4357¿Identifier¿¿7570¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4358¿Literal¿string¿7570¿¿'path'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4359¿VariableDeclarator¿¿7570¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4360¿CallExpression¿¿7570¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4361¿Identifier¿¿7570¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4362¿Literal¿string¿7570¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4363¿VariableDeclarator¿¿7570¿config¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4364¿CallExpression¿¿7570¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4365¿Identifier¿¿7570¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4366¿Literal¿string¿7570¿¿'./config'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4367¿VariableDeclarator¿¿7570¿winston¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4368¿CallExpression¿¿7570¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4369¿Identifier¿¿7570¿require¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4370¿Literal¿string¿7570¿¿'winston'¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4371¿VariableDeclarator¿¿7570¿v458¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4372¿CallExpression¿¿7570¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4373¿Identifier¿¿7570¿require¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4374¿Literal¿string¿7570¿¿'util'¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4375¿VariableDeclarator¿¿7570¿inherits¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4376¿MemberExpression¿¿7570¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿MemberExpression
4377¿Identifier¿¿7570¿v458¿¿¿¿¿Identifier
4378¿Identifier¿¿7570¿inherits¿¿¿{"start":{"line":8,"column":31},"end":{"line":8,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4379¿VariableDeclarator¿¿7570¿addressParser¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4380¿CallExpression¿¿7570¿¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4381¿Identifier¿¿7570¿require¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4382¿Literal¿string¿7570¿¿'./address-parser'¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4383¿VariableDeclarator¿¿7570¿GitTask¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4384¿CallExpression¿¿7570¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿CallExpression
4385¿Identifier¿¿7570¿require¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Identifier
4386¿Literal¿string¿7570¿¿'./git-task'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
4387¿VariableDeclarator¿¿7570¿gitConfigNoColors¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿VariableDeclarator
4388¿Literal¿string¿7570¿¿'-c color.ui=false'¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/40/src/git.js"}¿¿Literal
