Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1117¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":121,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Program
1118¿VariableDeclarator¿¿1893¿typeOf¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1119¿CallExpression¿¿1893¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿CallExpression
1120¿Identifier¿¿1893¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1121¿Literal¿string¿1893¿¿'./typeof'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Literal
1122¿VariableDeclarator¿¿1893¿v95¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1123¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1124¿Identifier¿¿1893¿Array¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1125¿Identifier¿¿1893¿prototype¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
1126¿VariableDeclarator¿¿1893¿slice¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿VariableDeclarator
1127¿MemberExpression¿¿1893¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿MemberExpression
1128¿Identifier¿¿1893¿v95¿¿¿¿¿Identifier
1129¿Identifier¿¿1893¿slice¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/611/src/deap.js"}¿¿Identifier
