Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
618¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":90,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Program
619¿VariableDeclarator¿¿1090¿isObject¿¿¿{"start":{"line":7,"column":6},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
620¿ArrowFunctionExpression¿¿1090¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿ArrowFunctionExpression
621¿Identifier¿¿0¿item¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
622¿VariableDeclarator¿¿1092¿v61¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
623¿UnaryExpression¿typeof¿1092¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿UnaryExpression
624¿Identifier¿¿1092¿item¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
625¿VariableDeclarator¿¿1092¿v62¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
626¿BinaryExpression¿===¿1092¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿BinaryExpression
627¿Identifier¿¿1092¿v61¿¿¿¿¿Identifier
628¿Literal¿string¿1092¿¿'object'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Literal
629¿VariableDeclarator¿¿1092¿v63¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
630¿CallExpression¿¿1092¿¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿CallExpression
631¿MemberExpression¿¿1092¿¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿MemberExpression
632¿Identifier¿¿1092¿Array¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
633¿Identifier¿¿1092¿isArray¿¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
634¿Identifier¿¿1092¿item¿¿¿{"start":{"line":8,"column":47},"end":{"line":8,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
635¿VariableDeclarator¿¿1092¿v64¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
636¿UnaryExpression¿!¿1092¿¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿UnaryExpression
637¿Identifier¿¿1092¿v63¿¿¿¿¿Identifier
638¿VariableDeclarator¿¿1092¿v65¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
639¿LogicalExpression¿&&¿1092¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿LogicalExpression
640¿Identifier¿¿1092¿v62¿¿¿¿¿Identifier
641¿Identifier¿¿1092¿v64¿¿¿¿¿Identifier
642¿ReturnStatement¿¿1092¿¿¿¿¿¿ReturnStatement
643¿Identifier¿¿1092¿v65¿¿¿¿¿Identifier
644¿BlockStatement¿¿1092¿¿¿¿¿¿BlockStatement
645¿VariableDeclarator¿exported¿1090¿merge¿¿¿{"start":{"line":22,"column":0},"end":{"line":75,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿VariableDeclarator
646¿FunctionExpression¿¿1090¿anon¿¿¿{"start":{"line":22,"column":0},"end":{"line":75,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿FunctionExpression
647¿Identifier¿¿0¿target¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
648¿Identifier¿¿0¿source¿¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿Identifier
649¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/putil-merge_3.0.0/src/merge.js"}¿¿AssignmentPattern
