Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
817¿Program¿¿-1¿¿¿¿{"start":{"line":17,"column":0},"end":{"line":185,"column":2},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Program
818¿VariableDeclarator¿exported¿1413¿template¿¿¿{"start":{"line":17,"column":0},"end":{"line":95,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
819¿FunctionExpression¿¿1413¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":95,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿FunctionExpression
820¿Identifier¿¿0¿state¿¿¿{"start":{"line":17,"column":18},"end":{"line":17,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
821¿Identifier¿¿0¿options¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
822¿VariableDeclarator¿¿1415¿tpl¿¿¿{"start":{"line":18,"column":2},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
823¿FunctionExpression¿¿1415¿anon¿¿¿{"start":{"line":18,"column":2},"end":{"line":35,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿FunctionExpression
824¿Identifier¿¿0¿expression¿¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
825¿RestElement¿¿0¿¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿RestElement
826¿Identifier¿¿0¿args¿¿¿{"start":{"line":18,"column":30},"end":{"line":18,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
827¿VariableDeclarator¿¿1417¿last¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
828¿VariableDeclarator¿¿1417¿v83¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
829¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿MemberExpression
830¿Identifier¿¿1417¿tpl¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
831¿Identifier¿¿1417¿lines¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Identifier
832¿VariableDeclarator¿¿1417¿v84¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
833¿ArrowFunctionExpression¿¿1417¿¿¿¿{"start":{"line":23,"column":24},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿ArrowFunctionExpression
834¿ReturnStatement¿¿1419¿¿¿¿¿¿ReturnStatement
835¿Literal¿string¿1419¿¿'i'¿¿{"start":{"line":23,"column":30},"end":{"line":23,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿Literal
836¿BlockStatement¿¿1419¿¿¿¿¿¿BlockStatement
837¿VariableDeclarator¿¿1417¿v85¿¿¿{"start":{"line":22,"column":6},"end":{"line":23,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/djv_2.0.0/src/template.js"}¿¿VariableDeclarator
