Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1195¿Program¿¿-1¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":288,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Program
1196¿VariableDeclarator¿¿2051¿v229¿¿¿{"start":{"line":16,"column":1},"end":{"line":288,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1197¿FunctionExpression¿¿2051¿anon¿¿¿{"start":{"line":16,"column":1},"end":{"line":288,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿FunctionExpression
1198¿VariableDeclarator¿¿2053¿v116¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1199¿CallExpression¿¿2053¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿CallExpression
1200¿Identifier¿¿2053¿require¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1201¿Literal¿string¿2053¿¿'os'¿¿{"start":{"line":17,"column":27},"end":{"line":17,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1202¿VariableDeclarator¿¿2053¿platform¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1203¿CallExpression¿¿2053¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿CallExpression
1204¿MemberExpression¿¿2053¿¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿MemberExpression
1205¿Identifier¿¿2053¿v116¿¿¿¿¿Identifier
1206¿Identifier¿¿2053¿platform¿¿¿{"start":{"line":17,"column":33},"end":{"line":17,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1207¿VariableDeclarator¿¿2053¿path¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1208¿CallExpression¿¿2053¿¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿CallExpression
1209¿Identifier¿¿2053¿require¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1210¿Literal¿string¿2053¿¿'path'¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1211¿VariableDeclarator¿¿2053¿v117¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1212¿CallExpression¿¿2053¿¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿CallExpression
1213¿Identifier¿¿2053¿require¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1214¿Literal¿string¿2053¿¿'child_process'¿¿{"start":{"line":19,"column":27},"end":{"line":19,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1215¿VariableDeclarator¿¿2053¿exec¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1216¿MemberExpression¿¿2053¿¿¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿MemberExpression
1217¿Identifier¿¿2053¿v117¿¿¿¿¿Identifier
1218¿Identifier¿¿2053¿exec¿¿¿{"start":{"line":19,"column":44},"end":{"line":19,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1219¿VariableDeclarator¿¿2053¿v118¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1220¿CallExpression¿¿2053¿¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿CallExpression
1221¿Identifier¿¿2053¿require¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1222¿Literal¿string¿2053¿¿'child_process'¿¿{"start":{"line":20,"column":27},"end":{"line":20,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1223¿VariableDeclarator¿¿2053¿execFile¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1224¿MemberExpression¿¿2053¿¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿MemberExpression
1225¿Identifier¿¿2053¿v118¿¿¿¿¿Identifier
1226¿Identifier¿¿2053¿execFile¿¿¿{"start":{"line":20,"column":44},"end":{"line":20,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1227¿VariableDeclarator¿¿2053¿wmic¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":113},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1228¿VariableDeclarator¿¿2053¿v119¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1229¿BinaryExpression¿===¿2053¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿BinaryExpression
1230¿Identifier¿¿2053¿platform¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1231¿Literal¿string¿2053¿¿'win32'¿¿{"start":{"line":21,"column":32},"end":{"line":21,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1232¿VariableDeclarator¿¿2053¿v120¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1233¿MemberExpression¿¿2053¿¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿MemberExpression
1234¿Identifier¿¿2053¿process¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1235¿Identifier¿¿2053¿env¿¿¿{"start":{"line":21,"column":59},"end":{"line":21,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1236¿VariableDeclarator¿¿2053¿v121¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1237¿MemberExpression¿¿2053¿¿¿¿{"start":{"line":21,"column":51},"end":{"line":21,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿MemberExpression
1238¿Identifier¿¿2053¿v120¿¿¿¿¿Identifier
1239¿Identifier¿¿2053¿SystemRoot¿¿¿{"start":{"line":21,"column":63},"end":{"line":21,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1240¿VariableDeclarator¿¿2053¿v122¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":106},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿VariableDeclarator
1241¿CallExpression¿¿2053¿¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":106},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿CallExpression
1242¿MemberExpression¿¿2053¿¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿MemberExpression
1243¿Identifier¿¿2053¿path¿¿¿{"start":{"line":21,"column":41},"end":{"line":21,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1244¿Identifier¿¿2053¿join¿¿¿{"start":{"line":21,"column":46},"end":{"line":21,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Identifier
1245¿Identifier¿¿2053¿v121¿¿¿¿¿Identifier
1246¿Literal¿string¿2053¿¿'System32'¿¿{"start":{"line":21,"column":75},"end":{"line":21,"column":85},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1247¿Literal¿string¿2053¿¿'wbem'¿¿{"start":{"line":21,"column":87},"end":{"line":21,"column":93},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1248¿Literal¿string¿2053¿¿'wmic.exe'¿¿{"start":{"line":21,"column":95},"end":{"line":21,"column":105},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿Literal
1249¿IfStatement¿¿2053¿¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":113},"fname":"/datasets/vulcan-dataset/CWE-78/336/src/index.js"}¿¿IfStatement
1250¿Identifier¿¿2053¿v119¿¿¿¿¿Identifier
