Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
688¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Program
689¿ExpressionStatement¿¿1203¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ExpressionStatement
690¿Literal¿string¿1203¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Literal
691¿VariableDeclarator¿¿1203¿getPath¿¿¿{"start":{"line":3,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
692¿FunctionExpression¿¿1203¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿FunctionExpression
693¿Identifier¿¿0¿key¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
694¿VariableDeclarator¿¿1205¿v61¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
695¿UnaryExpression¿!¿1205¿¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿UnaryExpression
696¿Identifier¿¿1205¿key¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿Identifier
697¿IfStatement¿¿1205¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":8,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿IfStatement
698¿Identifier¿¿1205¿v61¿¿¿¿¿Identifier
699¿VariableDeclarator¿¿1205¿v62¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
700¿ArrayExpression¿¿1205¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ArrayExpression
701¿ReturnStatement¿¿1205¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿ReturnStatement
702¿Identifier¿¿1205¿v62¿¿¿¿¿Identifier
703¿BlockStatement¿¿1205¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":6,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿BlockStatement
704¿VariableDeclarator¿¿1205¿v63¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿VariableDeclarator
705¿CallExpression¿¿1205¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/tiny-conf_1.1.0/src/tiny-conf.js"}¿¿CallExpression
