Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5133¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":769,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Program
5134¿ExpressionStatement¿¿8978¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿ExpressionStatement
5135¿Literal¿string¿8978¿¿'use strict'¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5136¿VariableDeclarator¿¿8978¿fs¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5137¿CallExpression¿¿8978¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5138¿Identifier¿¿8978¿require¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5139¿Literal¿string¿8978¿¿'fs'¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
5140¿VariableDeclarator¿¿8978¿parseArgs¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿VariableDeclarator
5141¿CallExpression¿¿8978¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿CallExpression
5142¿Identifier¿¿8978¿require¿¿¿{"start":{"line":9,"column":18},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Identifier
5143¿Literal¿string¿8978¿¿'yargs-parser'¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/convict_6.0.0/src/main.js"}¿¿Literal
