Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
640¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":99,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Program
641¿VariableDeclarator¿¿1130¿v87¿¿¿{"start":{"line":5,"column":9},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
642¿ArrowFunctionExpression¿¿1130¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿ArrowFunctionExpression
643¿Identifier¿¿0¿obj¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
644¿Identifier¿¿0¿path¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
645¿VariableDeclarator¿¿1132¿v70¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
646¿UnaryExpression¿typeof¿1132¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿UnaryExpression
647¿Identifier¿¿1132¿path¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿Identifier
648¿VariableDeclarator¿¿1132¿v71¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿VariableDeclarator
649¿BinaryExpression¿===¿1132¿¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/merge-change_1.0.1/src/utils.js"}¿¿BinaryExpression
650¿Identifier¿¿1132¿v70¿¿¿¿¿Identifier
