Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
913¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":149,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Program
914¿VariableDeclarator¿¿1564¿ip¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
915¿CallExpression¿¿1564¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
916¿Identifier¿¿1564¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
917¿Literal¿string¿1564¿¿'ip'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
918¿VariableDeclarator¿¿1564¿os¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
919¿CallExpression¿¿1564¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
920¿Identifier¿¿1564¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
921¿Literal¿string¿1564¿¿'os'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
922¿VariableDeclarator¿¿1564¿net¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
923¿CallExpression¿¿1564¿¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
924¿Identifier¿¿1564¿require¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
925¿Literal¿string¿1564¿¿'net'¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
926¿VariableDeclarator¿¿1564¿cp¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
927¿CallExpression¿¿1564¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
928¿Identifier¿¿1564¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
929¿Literal¿string¿1564¿¿'mz/child_process'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
930¿VariableDeclarator¿¿1564¿parseLinux¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
931¿CallExpression¿¿1564¿¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
932¿Identifier¿¿1564¿require¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
933¿Literal¿string¿1564¿¿'./parser/linux'¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
934¿VariableDeclarator¿¿1564¿parseWin32¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
935¿CallExpression¿¿1564¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
936¿Identifier¿¿1564¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
937¿Literal¿string¿1564¿¿'./parser/win32'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
938¿VariableDeclarator¿¿1564¿parseRow¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
939¿CallExpression¿¿1564¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
940¿Identifier¿¿1564¿require¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
941¿Literal¿string¿1564¿¿'./parser'¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Literal
942¿VariableDeclarator¿¿1564¿servers¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
943¿CallExpression¿¿1564¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
944¿Identifier¿¿1564¿getServers¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
945¿VariableDeclarator¿¿1564¿lock¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
946¿ObjectExpression¿¿1564¿¿¿¿¿¿ObjectExpression
947¿VariableDeclarator¿exported¿1564¿findLocalDevices¿¿¿{"start":{"line":16,"column":0},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
948¿FunctionExpression¿¿1564¿anon¿¿¿{"start":{"line":16,"column":17},"end":{"line":25,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
949¿Identifier¿¿0¿address¿¿¿{"start":{"line":16,"column":44},"end":{"line":16,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
950¿VariableDeclarator¿¿1566¿key¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
951¿CallExpression¿¿1566¿¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
952¿Identifier¿¿1566¿String¿¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
953¿Identifier¿¿1566¿address¿¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
954¿VariableDeclarator¿¿1566¿v84¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
955¿MemberExpression¿computed¿1566¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
956¿Identifier¿¿1566¿lock¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
957¿Identifier¿¿1566¿key¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
958¿VariableDeclarator¿¿1566¿v85¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
959¿CallExpression¿¿1566¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
960¿Identifier¿¿1566¿pingServer¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
961¿Identifier¿¿1566¿address¿¿¿{"start":{"line":21,"column":19},"end":{"line":21,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
962¿VariableDeclarator¿¿1566¿v86¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
963¿CallExpression¿¿1566¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
964¿MemberExpression¿¿1566¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
965¿Identifier¿¿1566¿v85¿¿¿¿¿Identifier
966¿Identifier¿¿1566¿then¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
967¿Identifier¿¿1566¿arpOne¿¿¿{"start":{"line":21,"column":33},"end":{"line":21,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
968¿VariableDeclarator¿¿1566¿v87¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
969¿CallExpression¿¿1566¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
970¿Identifier¿¿1566¿pingServers¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
971¿VariableDeclarator¿¿1566¿v88¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
972¿CallExpression¿¿1566¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
973¿MemberExpression¿¿1566¿¿¿¿{"start":{"line":22,"column":8},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
974¿Identifier¿¿1566¿v87¿¿¿¿¿Identifier
975¿Identifier¿¿1566¿then¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
976¿Identifier¿¿1566¿arpAll¿¿¿{"start":{"line":22,"column":27},"end":{"line":22,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
977¿VariableDeclarator¿¿1566¿v89¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
978¿IfStatement¿¿1566¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿IfStatement
979¿Identifier¿¿1566¿address¿¿¿{"start":{"line":20,"column":5},"end":{"line":20,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
980¿ExpressionStatement¿¿1566¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
981¿AssignmentExpression¿=¿1566¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
982¿Identifier¿¿1566¿v89¿¿¿¿¿Identifier
983¿Identifier¿¿1566¿v86¿¿¿¿¿Identifier
984¿BlockStatement¿¿1566¿¿¿¿¿¿BlockStatement
985¿ExpressionStatement¿¿1566¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
986¿AssignmentExpression¿=¿1566¿¿¿¿{"start":{"line":20,"column":5},"end":{"line":22,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
987¿Identifier¿¿1566¿v89¿¿¿¿¿Identifier
988¿Identifier¿¿1566¿v88¿¿¿¿¿Identifier
989¿BlockStatement¿¿1566¿¿¿¿¿¿BlockStatement
990¿VariableDeclarator¿¿1566¿v90¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
991¿CallExpression¿¿1566¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
992¿Identifier¿¿1566¿unlock¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
993¿Identifier¿¿1566¿key¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
994¿VariableDeclarator¿¿1566¿v91¿¿¿{"start":{"line":20,"column":4},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
995¿CallExpression¿¿1566¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿CallExpression
996¿MemberExpression¿¿1566¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
997¿Identifier¿¿1566¿v89¿¿¿¿¿Identifier
998¿Identifier¿¿1566¿then¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
999¿Identifier¿¿1566¿v90¿¿¿¿¿Identifier
1000¿ExpressionStatement¿¿1566¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1001¿AssignmentExpression¿=¿1566¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":23,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
1002¿MemberExpression¿computed¿1566¿¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1003¿Identifier¿¿1566¿lock¿¿¿{"start":{"line":18,"column":2},"end":{"line":18,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
1004¿Identifier¿¿1566¿key¿¿¿{"start":{"line":18,"column":7},"end":{"line":18,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/local-devices_2.0.0/src/index.js"}¿¿Identifier
