Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
778¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":162,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Program
779¿ExpressionStatement¿¿1322¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿ExpressionStatement
780¿Literal¿string¿1322¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
781¿VariableDeclarator¿¿1322¿v60¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
782¿CallExpression¿¿1322¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿CallExpression
783¿Identifier¿¿1322¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
784¿Literal¿string¿1322¿¿'child_process'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Literal
785¿VariableDeclarator¿¿1322¿exec¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿VariableDeclarator
786¿MemberExpression¿¿1322¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿MemberExpression
787¿Identifier¿¿1322¿v60¿¿¿¿¿Identifier
788¿Identifier¿¿1322¿exec¿¿¿{"start":{"line":3,"column":38},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/theme-core_0.2.5/src/utils.js"}¿¿Identifier
