Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
641¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":86,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Program
642¿ExpressionStatement¿¿1111¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿ExpressionStatement
643¿Literal¿string¿1111¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
644¿VariableDeclarator¿¿1111¿fs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
645¿CallExpression¿¿1111¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
646¿Identifier¿¿1111¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
647¿Literal¿string¿1111¿¿'fs'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
648¿VariableDeclarator¿¿1111¿url¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
649¿CallExpression¿¿1111¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
650¿Identifier¿¿1111¿require¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
651¿Literal¿string¿1111¿¿'url'¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
652¿VariableDeclarator¿¿1111¿crypto¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿VariableDeclarator
653¿CallExpression¿¿1111¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿CallExpression
654¿Identifier¿¿1111¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Identifier
655¿Literal¿string¿1111¿¿'crypto'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/hostr_2.0.0/src/static.js"}¿¿Literal
