Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
630¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":1},"end":{"line":69,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿Program
631¿VariableDeclarator¿¿1106¿fs¿¿¿{"start":{"line":1,"column":5},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿VariableDeclarator
632¿CallExpression¿¿1106¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿CallExpression
633¿Identifier¿¿1106¿require¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿Identifier
634¿Literal¿string¿1106¿¿'fs'¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿Literal
635¿VariableDeclarator¿¿1106¿getMime¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿VariableDeclarator
636¿CallExpression¿¿1106¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿CallExpression
637¿Identifier¿¿1106¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿Identifier
638¿Literal¿string¿1106¿¿'./mime.js'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿Literal
639¿VariableDeclarator¿¿1106¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿VariableDeclarator
640¿CallExpression¿¿1106¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/exxxxxxxxxxx_1.0.2/src/res.js"}¿¿CallExpression
