Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1085¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":209,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Program
1086¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1087¿Literal¿string¿1890¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1088¿VariableDeclarator¿¿1890¿v93¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1089¿CallExpression¿¿1890¿¿¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1090¿Identifier¿¿1890¿require¿¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1091¿Literal¿string¿1890¿¿'./util/minimal'¿¿{"start":{"line":7,"column":36},"end":{"line":7,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1092¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1093¿AssignmentExpression¿=¿1890¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1094¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1095¿Identifier¿¿1890¿module¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1096¿Identifier¿¿1890¿exports¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1097¿Identifier¿¿1890¿v93¿¿¿¿¿Identifier
1098¿VariableDeclarator¿¿1890¿util¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1099¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1100¿Identifier¿¿1890¿module¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1101¿Identifier¿¿1890¿exports¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1102¿VariableDeclarator¿¿1890¿roots¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1103¿CallExpression¿¿1890¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1104¿Identifier¿¿1890¿require¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1105¿Literal¿string¿1890¿¿'./roots'¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1106¿VariableDeclarator¿¿1890¿Type¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":8},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1107¿VariableDeclarator¿¿1890¿Enum¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":8},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1108¿VariableDeclarator¿¿1890¿v94¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1109¿CallExpression¿¿1890¿¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1110¿Identifier¿¿1890¿require¿¿¿{"start":{"line":14,"column":15},"end":{"line":14,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1111¿Literal¿string¿1890¿¿'@protobufjs/codegen'¿¿{"start":{"line":14,"column":23},"end":{"line":14,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1112¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1113¿AssignmentExpression¿=¿1890¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":45},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1114¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1115¿Identifier¿¿1890¿util¿¿¿{"start":{"line":14,"column":0},"end":{"line":14,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1116¿Identifier¿¿1890¿codegen¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1117¿Identifier¿¿1890¿v94¿¿¿¿¿Identifier
1118¿VariableDeclarator¿¿1890¿v95¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1119¿CallExpression¿¿1890¿¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1120¿Identifier¿¿1890¿require¿¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1121¿Literal¿string¿1890¿¿'@protobufjs/fetch'¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1122¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1123¿AssignmentExpression¿=¿1890¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1124¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1125¿Identifier¿¿1890¿util¿¿¿{"start":{"line":15,"column":0},"end":{"line":15,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1126¿Identifier¿¿1890¿fetch¿¿¿{"start":{"line":15,"column":5},"end":{"line":15,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1127¿Identifier¿¿1890¿v95¿¿¿¿¿Identifier
1128¿VariableDeclarator¿¿1890¿v96¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1129¿CallExpression¿¿1890¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1130¿Identifier¿¿1890¿require¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1131¿Literal¿string¿1890¿¿'@protobufjs/path'¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1132¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1133¿AssignmentExpression¿=¿1890¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1134¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1135¿Identifier¿¿1890¿util¿¿¿{"start":{"line":16,"column":0},"end":{"line":16,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1136¿Identifier¿¿1890¿path¿¿¿{"start":{"line":16,"column":5},"end":{"line":16,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1137¿Identifier¿¿1890¿v96¿¿¿¿¿Identifier
1138¿VariableDeclarator¿¿1890¿v97¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1139¿CallExpression¿¿1890¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿CallExpression
1140¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1141¿Identifier¿¿1890¿util¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1142¿Identifier¿¿1890¿inquire¿¿¿{"start":{"line":22,"column":15},"end":{"line":22,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1143¿Literal¿string¿1890¿¿'fs'¿¿{"start":{"line":22,"column":23},"end":{"line":22,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Literal
1144¿ExpressionStatement¿¿1890¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿ExpressionStatement
1145¿AssignmentExpression¿=¿1890¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿AssignmentExpression
1146¿MemberExpression¿¿1890¿¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿MemberExpression
1147¿Identifier¿¿1890¿util¿¿¿{"start":{"line":22,"column":0},"end":{"line":22,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1148¿Identifier¿¿1890¿fs¿¿¿{"start":{"line":22,"column":5},"end":{"line":22,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1149¿Identifier¿¿1890¿v97¿¿¿¿¿Identifier
1150¿VariableDeclarator¿exported¿1890¿toArray¿¿¿{"start":{"line":29,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿VariableDeclarator
1151¿FunctionExpression¿¿1890¿anon¿¿¿{"start":{"line":29,"column":15},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿FunctionExpression
1152¿Identifier¿¿0¿object¿¿¿{"start":{"line":29,"column":32},"end":{"line":29,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
1153¿IfStatement¿¿1892¿¿¿¿{"start":{"line":30,"column":4},"end":{"line":37,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿IfStatement
1154¿Identifier¿¿1892¿object¿¿¿{"start":{"line":30,"column":8},"end":{"line":30,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js"}¿¿Identifier
