Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
700¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":126,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Program
701¿ExpressionStatement¿¿1185¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿ExpressionStatement
702¿Literal¿string¿1185¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
703¿VariableDeclarator¿¿1185¿v69¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
704¿CallExpression¿¿1185¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
705¿Identifier¿¿1185¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
706¿Literal¿string¿1185¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
707¿VariableDeclarator¿¿1185¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
708¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
709¿Identifier¿¿1185¿v69¿¿¿¿¿Identifier
710¿Identifier¿¿1185¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
711¿VariableDeclarator¿¿1185¿v70¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
712¿CallExpression¿¿1185¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
713¿Identifier¿¿1185¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
714¿Literal¿string¿1185¿¿'child_process'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
715¿VariableDeclarator¿¿1185¿execSync¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
716¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
717¿Identifier¿¿1185¿v70¿¿¿¿¿Identifier
718¿Identifier¿¿1185¿execSync¿¿¿{"start":{"line":4,"column":40},"end":{"line":4,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
719¿VariableDeclarator¿¿1185¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
720¿CallExpression¿¿1185¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿CallExpression
721¿Identifier¿¿1185¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
722¿Literal¿string¿1185¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Literal
723¿VariableDeclarator¿¿1185¿access¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
724¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
725¿Identifier¿¿1185¿fs¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
726¿Identifier¿¿1185¿access¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
727¿VariableDeclarator¿¿1185¿accessSync¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
728¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
729¿Identifier¿¿1185¿fs¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
730¿Identifier¿¿1185¿accessSync¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
731¿VariableDeclarator¿¿1185¿v71¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿VariableDeclarator
732¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿MemberExpression
733¿Identifier¿¿1185¿fs¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/command-exists_1.2.2/src/command-exists.js"}¿¿Identifier
