Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
900¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Program
901¿ExpressionStatement¿¿1572¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
902¿Literal¿string¿1572¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
903¿VariableDeclarator¿¿1572¿Fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
904¿CallExpression¿¿1572¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿CallExpression
905¿Identifier¿¿1572¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
906¿Literal¿string¿1572¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
907¿VariableDeclarator¿¿1572¿Path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
908¿CallExpression¿¿1572¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿CallExpression
909¿Identifier¿¿1572¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
910¿Literal¿string¿1572¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
911¿VariableDeclarator¿¿1572¿Util¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
912¿CallExpression¿¿1572¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿CallExpression
913¿Identifier¿¿1572¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
914¿Literal¿string¿1572¿¿'util'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
915¿VariableDeclarator¿¿1572¿Utility¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
916¿CallExpression¿¿1572¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿CallExpression
917¿Identifier¿¿1572¿require¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
918¿Literal¿string¿1572¿¿'../utility'¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
919¿VariableDeclarator¿¿1572¿PathStat¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
920¿CallExpression¿¿1572¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿CallExpression
921¿Identifier¿¿1572¿require¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
