Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6836¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":766,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Program
6837¿VariableDeclarator¿¿camelCase¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6838¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6839¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6840¿Literal¿string¿¿'camelcase'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6841¿VariableDeclarator¿¿path¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6842¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6843¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6844¿Literal¿string¿¿'path'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6845¿VariableDeclarator¿¿tokenizeArgString¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6846¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6847¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6848¿Literal¿string¿¿'./lib/tokenize-arg-string'¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6849¿VariableDeclarator¿¿util¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6850¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6851¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6852¿Literal¿string¿¿'util'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6853¿VariableDeclarator¿¿parse¿¿¿¿¿VariableDeclarator
6854¿FunctionExpression¿¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":684,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿FunctionExpression
6855¿Identifier¿¿args¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6856¿Identifier¿¿opts¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6857¿VariableDeclarator¿¿v790¿¿¿¿¿VariableDeclarator
6858¿UnaryExpression¿!¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿UnaryExpression
6859¿Identifier¿¿opts¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6860¿IfStatement¿¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿IfStatement
6861¿Identifier¿¿v790¿¿¿¿¿Identifier
6862¿ExpressionStatement¿¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
6863¿AssignmentExpression¿=¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
6864¿Identifier¿¿opts¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6865¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
6866¿BlockStatement¿¿¿¿¿¿¿BlockStatement
6867¿ExpressionStatement¿¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
6868¿AssignmentExpression¿=¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
6869¿Identifier¿¿args¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6870¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6871¿Identifier¿¿tokenizeArgString¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6872¿Identifier¿¿args¿¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6873¿VariableDeclarator¿¿v791¿¿¿¿¿VariableDeclarator
6874¿MemberExpression¿¿¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6875¿Identifier¿¿opts¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6876¿Identifier¿¿alias¿¿¿{"start":{"line":12,"column":36},"end":{"line":12,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6877¿VariableDeclarator¿¿v792¿¿¿¿¿VariableDeclarator
6878¿ObjectExpression¿¿¿¿¿{"start":{"line":12,"column":45},"end":{"line":12,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ObjectExpression
6879¿VariableDeclarator¿¿v793¿¿¿¿¿VariableDeclarator
6880¿LogicalExpression¿||¿¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿LogicalExpression
6881¿Identifier¿¿v791¿¿¿¿¿Identifier
6882¿Identifier¿¿v792¿¿¿¿¿Identifier
6883¿VariableDeclarator¿¿aliases¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6884¿CallExpression¿¿¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6885¿Identifier¿¿combineAliases¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6886¿Identifier¿¿v793¿¿¿¿¿Identifier
6887¿VariableDeclarator¿¿v794¿¿¿¿¿VariableDeclarator
6888¿ObjectExpression¿¿¿¿¿{"start":{"line":13,"column":29},"end":{"line":22,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ObjectExpression
6889¿Property¿¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6890¿Literal¿string¿¿'short-option-groups'¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6891¿Literal¿boolean¿¿true¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6892¿Property¿¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6893¿Literal¿string¿¿'camel-case-expansion'¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6894¿Literal¿boolean¿¿true¿¿{"start":{"line":15,"column":28},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6895¿Property¿¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6896¿Literal¿string¿¿'dot-notation'¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6897¿Literal¿boolean¿¿true¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6898¿Property¿¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6899¿Literal¿string¿¿'parse-numbers'¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6900¿Literal¿boolean¿¿true¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6901¿Property¿¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6902¿Literal¿string¿¿'boolean-negation'¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6903¿Literal¿boolean¿¿true¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6904¿Property¿¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6905¿Literal¿string¿¿'duplicate-arguments-array'¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
