Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1312¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":128,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿Program
1313¿ExpressionStatement¿¿2234¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿ExpressionStatement
1314¿Literal¿string¿2234¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿Literal
1315¿VariableDeclarator¿¿2234¿child_process¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿VariableDeclarator
1316¿CallExpression¿¿2234¿¿¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿CallExpression
1317¿Identifier¿¿2234¿require¿¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿Identifier
1318¿Literal¿string¿2234¿¿'child_process'¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿Literal
1319¿VariableDeclarator¿exported¿2234¿open¿¿¿{"start":{"line":3,"column":0},"end":{"line":6,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿VariableDeclarator
1320¿FunctionExpression¿¿2234¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":6,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿FunctionExpression
1321¿Identifier¿¿0¿path¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿Identifier
1322¿Identifier¿¿0¿ref¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿Identifier
1323¿ExpressionStatement¿¿2236¿¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/360/src/index.js"}¿¿ExpressionStatement
