Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8199¿Program¿¿-1¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":2254,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Program
8200¿VariableDeclarator¿¿14331¿LARGE_ARRAY_SIZE¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8201¿Literal¿number¿14331¿¿200¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8202¿VariableDeclarator¿¿14331¿HASH_UNDEFINED¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8203¿Literal¿string¿14331¿¿'__lodash_hash_undefined__'¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8204¿VariableDeclarator¿¿14331¿MAX_SAFE_INTEGER¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8205¿Literal¿number¿14331¿¿9007199254740991¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8206¿VariableDeclarator¿¿14331¿argsTag¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8207¿Literal¿string¿14331¿¿'[object Arguments]'¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8208¿VariableDeclarator¿¿14331¿arrayTag¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8209¿Literal¿string¿14331¿¿'[object Array]'¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8210¿VariableDeclarator¿¿14331¿boolTag¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8211¿Literal¿string¿14331¿¿'[object Boolean]'¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8212¿VariableDeclarator¿¿14331¿dateTag¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8213¿Literal¿string¿14331¿¿'[object Date]'¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8214¿VariableDeclarator¿¿14331¿errorTag¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8215¿Literal¿string¿14331¿¿'[object Error]'¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8216¿VariableDeclarator¿¿14331¿funcTag¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8217¿Literal¿string¿14331¿¿'[object Function]'¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8218¿VariableDeclarator¿¿14331¿genTag¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8219¿Literal¿string¿14331¿¿'[object GeneratorFunction]'¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
8220¿VariableDeclarator¿¿14331¿mapTag¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿VariableDeclarator
8221¿Literal¿string¿14331¿¿'[object Map]'¿¿{"start":{"line":27,"column":13},"end":{"line":27,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1068/src/index.js"}¿¿Literal
