Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
638¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":92,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿Program
639¿ExpressionStatement¿¿1148¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿ExpressionStatement
640¿Literal¿string¿1148¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿Literal
641¿VariableDeclarator¿¿1148¿esprima¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿VariableDeclarator
642¿TryStatement¿¿1148¿¿¿¿{"start":{"line":12,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿TryStatement
643¿VariableDeclarator¿¿1148¿_require¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿VariableDeclarator
644¿Identifier¿¿1148¿require¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿Identifier
645¿ExpressionStatement¿¿1148¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿ExpressionStatement
646¿AssignmentExpression¿=¿1148¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿AssignmentExpression
647¿Identifier¿¿1148¿esprima¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿Identifier
648¿CallExpression¿¿1148¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿CallExpression
649¿Identifier¿¿1148¿_require¿¿¿{"start":{"line":15,"column":12},"end":{"line":15,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/js-yaml_3.13.0/src/function.js"}¿¿Identifier
