Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
682¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":1},"end":{"line":73,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Program
683¿VariableDeclarator¿¿1196¿fs¿¿¿{"start":{"line":1,"column":5},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿VariableDeclarator
684¿CallExpression¿¿1196¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿CallExpression
685¿Identifier¿¿1196¿require¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Identifier
686¿Literal¿string¿1196¿¿'fs'¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Literal
687¿VariableDeclarator¿¿1196¿getMime¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿VariableDeclarator
688¿CallExpression¿¿1196¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿CallExpression
689¿Identifier¿¿1196¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Identifier
690¿Literal¿string¿1196¿¿'./mime.js'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Literal
691¿VariableDeclarator¿¿1196¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿VariableDeclarator
692¿CallExpression¿¿1196¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿CallExpression
693¿Identifier¿¿1196¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Identifier
694¿Literal¿string¿1196¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/ex-http-frame_1.0.2/src/res.js"}¿¿Literal
