Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1066¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":229,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Program
1067¿VariableDeclarator¿¿1892¿common¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1068¿CallExpression¿¿1892¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿CallExpression
1069¿Identifier¿¿1892¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1070¿Literal¿string¿1892¿¿'../common'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1071¿VariableDeclarator¿exported¿1892¿v114¿¿¿{"start":{"line":18,"column":13},"end":{"line":31,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1072¿FunctionExpression¿¿1892¿anon¿¿¿{"start":{"line":18,"column":30},"end":{"line":31,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿FunctionExpression
1073¿Identifier¿¿0¿options¿¿¿{"start":{"line":18,"column":40},"end":{"line":18,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1074¿VariableDeclarator¿¿1894¿v105¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1075¿ObjectExpression¿¿1894¿¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ObjectExpression
1076¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1077¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1078¿Identifier¿¿1894¿options¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1079¿LogicalExpression¿||¿1894¿¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿LogicalExpression
1080¿Identifier¿¿1894¿options¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1081¿Identifier¿¿1894¿v105¿¿¿¿¿Identifier
1082¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1083¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1084¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1085¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":20,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1086¿Identifier¿¿1894¿type¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1087¿Literal¿string¿1894¿¿'memory'¿¿{"start":{"line":20,"column":18},"end":{"line":20,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1088¿VariableDeclarator¿¿1894¿v106¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1089¿ObjectExpression¿¿1894¿¿¿¿¿¿ObjectExpression
1090¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1091¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1092¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1093¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":21,"column":2},"end":{"line":21,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1094¿Identifier¿¿1894¿store¿¿¿{"start":{"line":21,"column":7},"end":{"line":21,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1095¿Identifier¿¿1894¿v106¿¿¿¿¿Identifier
1096¿VariableDeclarator¿¿1894¿v107¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1097¿ObjectExpression¿¿1894¿¿¿¿¿¿ObjectExpression
1098¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1099¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1100¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1101¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":22,"column":2},"end":{"line":22,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1102¿Identifier¿¿1894¿mtimes¿¿¿{"start":{"line":22,"column":7},"end":{"line":22,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1103¿Identifier¿¿1894¿v107¿¿¿¿¿Identifier
1104¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1105¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1106¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1107¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1108¿Identifier¿¿1894¿readOnly¿¿¿{"start":{"line":23,"column":7},"end":{"line":23,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1109¿Literal¿boolean¿1894¿¿false¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1110¿VariableDeclarator¿¿1894¿v108¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1111¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1112¿Identifier¿¿1894¿options¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1113¿Identifier¿¿1894¿loadFrom¿¿¿{"start":{"line":24,"column":26},"end":{"line":24,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1114¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1115¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1116¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1117¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1118¿Identifier¿¿1894¿loadFrom¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1119¿LogicalExpression¿||¿1894¿¿¿¿{"start":{"line":24,"column":18},"end":{"line":24,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿LogicalExpression
1120¿Identifier¿¿1894¿v108¿¿¿¿¿Identifier
1121¿Literal¿object¿1894¿¿null¿¿{"start":{"line":24,"column":38},"end":{"line":24,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
